ID	NAME	KR NAME	FACT	EP	TYPE	R	HP	SIZE	LIM	A	D	S	LV	PT	Ability	Flavor	Upgrade
100001	Sita Vilosa, the mystery girl	미지의소녀 시타 빌로사	Vita	0	Character	UC	30	-	1	-	-	-	1	10	At the start of the turn, enemy Followers in Slots 1, 2, and 3 get STA -1. Another effect is added in dungeons. (Bonus effect: The enemy Character gets LIFE -1.)	[Sorry, but I'm busy right now. If you have something to say, could you tell me later? ... but make sure to tell me if you see me tomorrow, Vernika...]	
100002	Cinia Pacifica, gifted with beauty and intelligence	재색겸비 시니아퍼시피카	Academy	0	Character	UC	30	-	1	-	-	-	1	10	At the start of the turn, a random enemy Follower gets ATK -1/STA -1. Another effect is added in dungeons. (Bonus effect: The enemy Character gets LIFE -1.)	[A combination of intelligence and beauty, a mix of the literary and martial arts. It's no exaggeration to use these words to describe Cinia Pacifica. Ho... this is very interesting.]	
100003	Crux Knight Luthica	크룩스 기사단 루티카	Crux	0	Character	UC	30	-	1	-	-	-	1	10	At the start of the turn, a random allied Crux Follower gets ATK +1/STA +1. Another effect is added in dungeons. (Bonus effect: The enemy Character gets LIFE -1.)	[Because of the kindness that Jaina showed me, I will repay the favor to you knights. I will be the vanguard. Relax and focus on the battle.]	
100004	Fugitive Iri Flina	도망자 아이리 플리나	Darklore	0	Character	UC	30	-	1	-	-	-	1	10	At the start of the turn, if your Field SIZE is greater than the enemy Field SIZE, the enemy Character gets LIFE -1. Another effect is added in dungeons. (Bonus effect: The enemy Character gets LIFE -1.)	[It's not okay. Just because the Scardels and Crescents are elders doesn't mean they can order me around as they wish. If they don't like me, they should tell me themselves. Those old cowards...]	
100005	Nold	놀드	Academy	0	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random card in your Hand gets SIZE +1. If this happens, a random allied card with a SIZE of at least 2 gets SIZE -1.	[Won't it surprise the students if you walk around with that appearance?] [I've chosen this appearance with you students in mind.]	
100006	Ginger	진저	Neutral	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, allied Followers with a SIZE equal to or greater than the number of allied cards get ATK +1/STA +2.	[What? You have a problem? That personality has caused me a lot of hardships. Well whatever, I've already admitted defeat, so do what you want with me.]	
100007	Curious Girl Vernika	호기심소녀 베르니카	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first enemy Follower with the highest DEF gets DEF =0.	[The Twilight Wolf? Are you going to hunt it, Sita? Take me with you!]	
100008	Cannelle	카넬	Neutral	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, cards in your Field with the lowest SIZE get ATK/STA increased by the difference between the lowest SIZE in your Field and the highest SIZE in the enemy Field.	[You making fun of me? You wanna die?! You were calling me a shorty, weren't you!]	
100009	Gart	갓트	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random enemy Follower that does not belong to this Character's faction gets ATK -2/STA -2. If this Character and all enemy Followers belong to the same faction, two random enemy Followers get STA -1.	[I just hate Nold. It's- it's not like I think your uniform is cute or anything, so don't kid yourselves! It's not like I wanted to wear this uniform!]	
100010	Dress Sita	드레스의 시타	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are at least two cards in the enemy Field, the enemy Follower with the highest SIZE gets ATK -2/DEF -1/STA -2. If there is one enemy card, it gets STA -2	[Vernika, this... waist is tight.]	
100011	Dress Cinia	드레스의 시니아	Academy	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first enemy Follower with a SIZE that is less than or equal to half (rounding up) of the total SIZE of the first two cards in your Hand gets ATK -2/DEF -2/STA -2.	[I don't usually wear dresses like this, but since I was attending your party, it couldn't be helped!]	
100012	Dress Luthica	드레스의 루티카	Crux	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if the difference in SIZE between the cards in Slot 1 and Slot 2 of your Hand is odd, all allied Followers get STA +2. If the difference is even, allied Followers get ATK +2.	[It's been a while since I've worn eye-catching clothes like this. Is it because of Jaina? Heh...]	
